ID|DateObs|TimeObs|Telescope|Filename|Object|RA_hhmmss|DEC_ddmmss|RA_deg|DEC_deg|RA_pix|Dec_pix|FilterName|JD|ExpTime_sec|Zmag|FWHM|Altitude|Airmass
1|2021-04-05|12:38:12|SLT|FU_Ori-20210405_123758-B_Astrodon_2018_calib.fits|FU_Ori|05 45 21.91|+09 04 11.0|86.3413|9.0697|970.1214|1100.7968|B_Astrodon_2018|2459310.026527778|30.0|18.0158|4.3574|32.7628|1.8358
2|2021-04-05|12:39:06|SLT|FU_Ori-20210405_123901-V_Astrodon_2018_calib.fits|FU_Ori|05 45 21.91|+09 04 11.0|86.3413|9.0697|969.4583|1101.6578|V_Astrodon_2018|2459310.0271527776|10.0|19.6817|3.7294|32.5564|1.8421
3|2021-04-05|12:39:38|SLT|FU_Ori-20210405_123934-R_Astrodon_2018_calib.fits|FU_Ori|05 45 21.91|+09 04 11.0|86.3413|9.0697|969.7394|1101.3211|R_Astrodon_2018|2459310.0275231483|5.0|20.4185|5.1192|32.4341|1.8471
4|2021-04-05|12:40:13|SLT|FU_Ori-20210405_124002-B_Astrodon_2018_calib.fits|FU_Ori|05 45 21.91|+09 04 11.0|86.3413|9.0697|970.4671|1099.6236|B_Astrodon_2018|2459310.0279282406|30.0|17.9291|5.0776|32.3003|1.8588
5|2021-04-05|12:41:06|SLT|FU_Ori-20210405_124101-V_Astrodon_2018_calib.fits|FU_Ori|05 45 21.91|+09 04 11.0|86.3413|9.0697|970.4637|1101.2341|V_Astrodon_2018|2459310.0285416665|10.0|19.7452|3.5121|32.0977|1.8652
6|2021-04-05|12:41:38|SLT|FU_Ori-20210405_124134-R_Astrodon_2018_calib.fits|FU_Ori|05 45 21.91|+09 04 11.0|86.3413|9.0697|970.0461|1100.6556|R_Astrodon_2018|2459310.028912037|5.0|20.5137|4.0241|31.9753|1.8703
7|2021-04-06|11:17:44|SLT|FU_Ori-20210406_111730-B_Astrodon_2018_calib.fits|FU_Ori|05 45 21.91|+09 04 11.0|86.3413|9.0697|965.1199|1072.1808|B_Astrodon_2018|2459310.970648148|30.0|19.2305|3.1198|50.1185|1.2995
8|2021-04-06|11:18:50|SLT|FU_Ori-20210406_111845-V_Astrodon_2018_calib.fits|FU_Ori|05 45 21.91|+09 04 11.0|86.3413|9.0697|965.2533|1073.1561|V_Astrodon_2018|2459310.971412037|10.0|20.5375|2.3371|49.8736|1.3027
9|2021-04-06|11:19:22|SLT|FU_Ori-20210406_111918-R_Astrodon_2018_calib.fits|FU_Ori|05 45 21.91|+09 04 11.0|86.3413|9.0697|964.8765|1073.6629|R_Astrodon_2018|2459310.9717824073|5.0|21.2970|2.4170|49.7548|1.3046
10|2021-04-06|11:19:58|SLT|FU_Ori-20210406_111946-B_Astrodon_2018_calib.fits|FU_Ori|05 45 21.91|+09 04 11.0|86.3413|9.0697|965.5055|1072.4973|B_Astrodon_2018|2459310.972199074|30.0|19.2784|2.9195|49.6211|1.3090
