 name ra dec I_mag I_mag_Err V_mag V_mag_Err R_mag R_mag_Err
0 Vizier_0 68.66635 18.092448 13.880000114440918 0.0 13.656595657680395 0.03486107799256288 13.087285957313886 0.34757214503301803
1 Vizier_1 68.611239 18.017687 13.630000114440918 0.0 14.052442311627452 0.07595148189805911 13.250184285251427 0.24081600438157305
2 Vizier_2 68.61237 18.264895000000003 13.630000114440918 0.0 13.791676461600515 0.013338116884916928 13.043078997386218 0.3633898243581655
3 Vizier_3 68.61236540000002 18.265970000000003   12.34000015258789 0.0  
4 Vizier_4 68.587889 18.313361999999998 11.359999656677244 0.0 13.566282743542823 0.05741612722195377 12.308148569200306 0.4076308517168421
5 Vizier_5 68.558087 18.359189 13.789999961853027 0.0 13.989110896321653 0.022310968107490226 13.215120404203155 0.27377573929805443
6 Vizier_6 68.553834 18.331381 13.250000000000002 0.0 13.029999732971193 0.0 12.40447595002902 0.37095463035660536
7 Vizier_7 68.510695 18.402106 12.394183817022133 0.4425088814585827 12.918783547033721 0.026640377648313063 12.154556690941815 0.10786643408753704
8 Vizier_8 68.475887 18.033087 13.670000076293947 0.0 13.674737349611176 0.0047378139113885 12.956190457637993 0.3649069453246821
9 Vizier_9 68.469809 18.054764000000002 13.38000011444092 0.0 15.725000381469727 0.0 14.11927699483451 0.06288266333306503
10 Vizier_10 68.37774499999999 18.35247 13.289999961853027 0.0 13.286886240796797 0.0061563423074364465 12.380149621834269 0.365227974122833
11 Vizier_11 68.330848 18.180348000000002 14.100000381469727 0.0 14.082607048627025 0.01971943440522317 13.357637139740806 0.28312461975494685
12 #Vizier_12 68.329162 18.096448000000002 11.557171005988929 0.18574070250639352 12.577527891405866 0.05117988171310728 11.935784123219015 0.08117336090916716
13 #Vizier_13 68.329759 18.188695000000003 11.270000457763672 0.0 12.895483365436654 0.05817994103606594 12.146248750283528 0.3524473150239622
14 #Vizier_14 68.32907800000001 18.347948000000002 11.146002502938687 0.2887545185341658 13.210746701080565 0.09228387786632553 11.968246666906222 0.3988806621961931
15 #Vizier_15 68.328513 18.349923   15.534209373264618 0.04187313307828156 14.992574449991825 0.7807769621912204
16 Vizier_16 68.30028100000001 18.265259 11.09000015258789 0.0 12.321820384859011 0.08718158783179675 11.499644363967507 0.014586528807633668
17 Vizier_17 68.295687 18.023789 14.15999984741211 0.0 14.242951420329456 0.011920215969620784 13.559248169038524 0.2073220008407901
18 Vizier_18 68.290392 18.029517000000002 13.619999885559082 0.0 13.567155929733572 0.03313407591679685 13.014394432718642 0.3745909519950832
19 Vizier_19 68.230228 18.1196 13.289999961853027 0.0 13.263841065732871 0.034311219650113856 12.611241420493949 0.35220359753544983
20 Vizier_20 68.226578 18.088164000000003 11.300000190734865 0.0 13.487416899333557 0.0023322688832170253 12.40517855946667 0.02643202001872069
21 Vizier_21 68.229256 18.400517 13.229999542236328 0.0 13.308285687717204 0.026046210020000515 12.575150588486267 0.2715776777425205
22 Vizier_22 68.6538 18.345359 14.31999969482422 0.0 14.423217903793446 0.05227921936407931 13.89162628523821 0.35284727568146224
23 Vizier_23 68.630898 18.217123 13.939999580383306 0.0 14.264145201177376 0.0716416431151572 13.551227100840995 0.33813821703214586
24 Vizier_24 68.618753 18.37642 14.270000457763672 0.0 14.360598273221633 0.07420334574872099 13.667386323087742 0.3783434125938019
25 Vizier_25 68.545559 18.381456 14.300000190734865 0.0 14.47484126787274 0.0005461312252101892 13.826950218552382 0.3262759755425524
26 Vizier_26 68.417181 18.073489000000002 14.149999618530273 0.0 14.593999862670898 0.0 13.702598116943333 0.011736003154069865
27 Vizier_27 68.377989 18.408439 14.140000343322756 0.0 14.268330967549565 0.0334813014309745 13.526797820651913 0.3648164444562188
28 Vizier_28 68.3443 18.02145 14.010000228881836 0.0 14.27299976348877 0.0 13.375232883323662 0.3403353315907296
29 Vizier_29 68.222339 18.040881 14.029999732971193 0.0 14.411999702453615 0.0 13.682301778801428 0.4039767462151307
30 Vizier_30 68.488842 18.187034 14.270000457763672 0.0 14.684413754478145 0.041524404466008136 13.909983164624286 0.2997373732475133
31 Vizier_31 68.266825 18.112562 14.380000114440918 0.0 14.505999565124512 0.0 13.915102572406864 0.34896654869287497
