ID|DateObs|TimeObs|Telescope|Filename|Object|RA_hhmmss|DEC_ddmmss|RA_deg|DEC_deg|RA_pix|Dec_pix|FilterName|JD|ExpTime_sec|Zmag|FWHM|Altitude|Airmass
1|2021-03-01|14:08:23|SLT|FU_Ori-20210301_140809-B_Astrodon_2018_calib.fits|FU_Ori|05 45 21.91|+09 04 11.0|86.3413|9.0697|1023.6119|1023.1860|B_Astrodon_2018|2459275.0891550924|30.0|19.0737|2.7386|43.5808|1.4455
2|2021-03-01|14:09:16|SLT|FU_Ori-20210301_140911-V_Astrodon_2018_calib.fits|FU_Ori|05 45 21.91|+09 04 11.0|86.3413|9.0697|1023.6077|1024.0165|V_Astrodon_2018|2459275.0897685187|10.0|20.3828|2.4531|43.3808|1.4488
3|2021-03-01|14:09:49|SLT|FU_Ori-20210301_140945-R_Astrodon_2018_calib.fits|FU_Ori|05 45 21.91|+09 04 11.0|86.3413|9.0697|1023.3567|1024.1735|R_Astrodon_2018|2459275.090150463|5.0|21.2648|2.2227|43.2562|1.4515
4|2021-03-01|14:10:24|SLT|FU_Ori-20210301_141013-B_Astrodon_2018_calib.fits|FU_Ori|05 45 21.91|+09 04 11.0|86.3413|9.0697|1024.3548|1023.1733|B_Astrodon_2018|2459275.0905555557|30.0|19.0415|2.9538|43.1241|1.4576
5|2021-03-01|14:11:17|SLT|FU_Ori-20210301_141112-V_Astrodon_2018_calib.fits|FU_Ori|05 45 21.91|+09 04 11.0|86.3413|9.0697|1023.8370|1023.2482|V_Astrodon_2018|2459275.0911689815|10.0|20.3599|2.4987|42.9239|1.4610
6|2021-03-01|14:11:49|SLT|FU_Ori-20210301_141145-R_Astrodon_2018_calib.fits|FU_Ori|05 45 21.91|+09 04 11.0|86.3413|9.0697|1023.7213|1023.9682|R_Astrodon_2018|2459275.0915393517|5.0|21.1867|2.3818|42.8030|1.4638
7|2021-03-03|15:48:42|SLT|FU_Ori-20210303_154828-B_Astrodon_2018_calib.fits|FU_Ori|05 45 21.91|+09 04 11.0|86.3413|9.0697|1022.6044|1022.6426|B_Astrodon_2018|2459277.1588194445|30.0|17.8229|3.0770|18.8030|3.0542
8|2021-03-03|15:49:37|SLT|FU_Ori-20210303_154932-V_Astrodon_2018_calib.fits|FU_Ori|05 45 21.91|+09 04 11.0|86.3413|9.0697|1022.7519|1023.8509|V_Astrodon_2018|2459277.1594560184|10.0|19.3982|2.9906|18.5924|3.0741
9|2021-03-03|15:50:10|SLT|FU_Ori-20210303_155006-R_Astrodon_2018_calib.fits|FU_Ori|05 45 21.91|+09 04 11.0|86.3413|9.0697|1022.6197|1024.9810|R_Astrodon_2018|2459277.159837963|5.0|20.4658|2.8223|18.4660|3.0905
10|2021-03-03|15:50:45|SLT|FU_Ori-20210303_155034-B_Astrodon_2018_calib.fits|FU_Ori|05 45 21.91|+09 04 11.0|86.3413|9.0697|1024.2031|1022.6117|B_Astrodon_2018|2459277.160243056|30.0|17.8479|3.0538|18.3319|3.1278
11|2021-03-03|15:51:39|SLT|FU_Ori-20210303_155134-V_Astrodon_2018_calib.fits|FU_Ori|05 45 21.91|+09 04 11.0|86.3413|9.0697|1023.3683|1024.5423|V_Astrodon_2018|2459277.1608680557|10.0|19.2908|3.3266|18.1251|3.1484
