
python check_exposure_pixel.py nowt/

 ---------------------------
 All Targets 
 ---------------------------
nowt/
find ./nowt/ |grep 'fits' 
...check exposure time and pixel size of all files...
986
./nowt/20201015/clusters_TW/Fu_Ori/Fu_Ori_B_20201015231226_6s_0733.fits 	 1088x1024 	 2048x2068 	 6S 	             Fu_Ori
./nowt/20201015/clusters_TW/Fu_Ori/Fu_Ori_V_20201015231321_2s_0734.fits 	 1088x1024 	 2048x2068 	 2S 	             Fu_Ori
./nowt/20201015/clusters_TW/Fu_Ori/Fu_Ori_R_20201015231146_1s_0732.fits 	 1088x1024 	 2048x2068 	 1S 	             Fu_Ori
./nowt/20201015/clusters_TW/Fu_Ori/Fu_Ori_B_20201015224220_6s_0679.fits 	 1088x1024 	 2048x2068 	 6S 	             Fu_Ori
./nowt/20201015/clusters_TW/Fu_Ori/Fu_Ori_V_20201015224657_2s_0689.fits 	 1088x1024 	 2048x2068 	 2S 	             Fu_Ori
./nowt/20201015/clusters_TW/Fu_Ori/Fu_Ori_B_20201015225151_6s_0697.fits 	 1088x1024 	 2048x2068 	 6S 	             Fu_Ori
./nowt/20201015/clusters_TW/Fu_Ori/Fu_Ori_R_20201015231003_1s_0729.fits 	 1088x1024 	 2048x2068 	 1S 	             Fu_Ori
./nowt/20201015/clusters_TW/Fu_Ori/Fu_Ori_B_20201015232015_6s_0745.fits 	 1088x1024 	 2048x2068 	 6S 	             Fu_Ori
./nowt/20201015/clusters_TW/Fu_Ori/Fu_Ori_R_20201015230817_1s_0726.fits 	 1088x1024 	 2048x2068 	 1S 	             Fu_Ori
./nowt/20201015/clusters_TW/Fu_Ori/Fu_Ori_R_20201015224607_1s_0687.fits 	 1088x1024 	 2048x2068 	 1S 	             Fu_Ori
./nowt/20201015/clusters_TW/Fu_Ori/Fu_Ori_V_20201015225547_2s_0704.fits 	 1088x1024 	 2048x2068 	 2S 	             Fu_Ori
./nowt/20201015/clusters_TW/Fu_Ori/Fu_Ori_R_20201015230247_1s_0717.fits 	 1088x1024 	 2048x2068 	 1S 	             Fu_Ori
./nowt/20201015/clusters_TW/Fu_Ori/Fu_Ori_R_20201015225237_1s_0699.fits 	 1088x1024 	 2048x2068 	 1S 	             Fu_Ori
./nowt/20201015/clusters_TW/Fu_Ori/Fu_Ori_B_20201015225522_6s_0703.fits 	 1088x1024 	 2048x2068 	 6S 	             Fu_Ori
./nowt/20201015/clusters_TW/Fu_Ori/Fu_Ori_V_20201015225738_2s_0707.fits 	 1088x1024 	 2048x2068 	 2S 	             Fu_Ori
./nowt/20201015/clusters_TW/Fu_Ori/Fu_Ori_B_20201015224631_6s_0688.fits 	 1088x1024 	 2048x2068 	 6S 	             Fu_Ori
./nowt/20201015/clusters_TW/Fu_Ori/Fu_Ori_B_20201015230916_6s_0727.fits 	 1088x1024 	 2048x2068 	 6S 	             Fu_Ori
./nowt/20201015/clusters_TW/Fu_Ori/Fu_Ori_B_20201015230034_6s_0712.fits 	 1088x1024 	 2048x2068 	 6S 	             Fu_Ori
./nowt/20201015/clusters_TW/Fu_Ori/Fu_Ori_B_20201015224758_6s_0691.fits 	 1088x1024 	 2048x2068 	 6S 	             Fu_Ori
./nowt/20201015/clusters_TW/Fu_Ori/Fu_Ori_V_20201015231835_2s_0743.fits 	 1088x1024 	 2048x2068 	 2S 	             Fu_Ori
./nowt/20201015/clusters_TW/Fu_Ori/Fu_Ori_V_20201015231125_2s_0731.fits 	 1088x1024 	 2048x2068 	 2S 	             Fu_Ori
./nowt/20201015/clusters_TW/Fu_Ori/Fu_Ori_V_20201015224322_2s_0680.fits 	 1088x1024 	 2048x2068 	 2S 	             Fu_Ori
./nowt/20201015/clusters_TW/Fu_Ori/Fu_Ori_V_20201015232235_2s_0749.fits 	 1088x1024 	 2048x2068 	 2S 	             Fu_Ori
./nowt/20201015/clusters_TW/Fu_Ori/Fu_Ori_R_20201015224455_1s_0684.fits 	 1088x1024 	 2048x2068 	 1S 	             Fu_Ori
./nowt/20201015/clusters_TW/Fu_Ori/Fu_Ori_V_20201015232040_2s_0746.fits 	 1088x1024 	 2048x2068 	 2S 	             Fu_Ori
./nowt/20201015/clusters_TW/Fu_Ori/Fu_Ori_B_20201015225713_6s_0706.fits 	 1088x1024 	 2048x2068 	 6S 	             Fu_Ori
./nowt/20201015/clusters_TW/Fu_Ori/Fu_Ori_V_20201015225023_2s_0695.fits 	 1088x1024 	 2048x2068 	 2S 	             Fu_Ori
